Delay_s,ScheduleStartMission_s,FirstBurnMission_s,EntryMission_s,Miss_m,Status,EndpointLatitude_deg,EndpointLongitude_deg
37800,81476.7317058438,81476.7317058438,83650.292962306,9103208.03717466,SCREEN_ONLY,47.5051156411266,7.52758797553563
38400,82076.7317058438,82076.7317058438,84231.1369273904,6657120.53132447,SCREEN_ONLY,79.6445737269179,5.85572798700197
39000,82676.7317058438,82676.7317058438,84818.3006987953,4635680.10551815,SCREEN_ONLY,65.048668218731,-177.332777827976
39600,83276.7317058438,83276.7317058438,85430.2950560805,4951240.6190765,SCREEN_ONLY,23.2852315617321,-179.882095690068
40200,83876.7317058438,83876.7317058438,86050.1061211043,8021505.86264614,SCREEN_ONLY,-20.3806519020175,177.365963978417
40800,84476.7317058438,84476.7317058438,86645.9366927517,11146951.9938577,SCREEN_ONLY,-56.1961550982323,175.124642964986
41400,85076.7317058438,85076.7317058438,87225.0798761433,13959172.5108096,SCREEN_ONLY,-88.4167913149687,176.772677412673
42000,85676.7317058438,85676.7317058438,87818.3969466869,16416982.0038437,SCREEN_ONLY,-54.6020533591885,-9.80769212702145
42600,86276.7317058438,86276.7317058438,88436.0476111997,15401314.8891465,SCREEN_ONLY,-11.4501807283693,-12.4942677378714
43200,86876.7317058438,86876.7317058438,89052.2049699662,11728901.3953249,SCREEN_ONLY,30.8431661060007,-15.1611604577885
43800,87476.7317058438,87476.7317058438,89641.3537343877,8426117.1494766,SCREEN_ONLY,64.6909782121013,-17.2436350208972
44400,88076.7317058438,88076.7317058438,90221.6566137738,5220420.83604498,SCREEN_ONLY,82.3309913371427,159.500295252977
45000,88676.7317058438,88676.7317058438,90821.7613933691,2431462.4426211,SCREEN_ONLY,43.575529947063,157.650948864687
45600,89276.7317058438,89276.7317058438,91442.2803376485,4820599.24922388,SCREEN_ONLY,-0.421398818238022,154.889994724663
46200,89876.7317058438,89876.7317058438,92051.579009533,8863046.55663688,SCREEN_ONLY,-40.5482560609508,152.360496422172
46800,90476.7317058438,90476.7317058438,92634.8552448976,12294865.9547166,SCREEN_ONLY,-73.0907488604608,150.45371558464
47400,91076.7317058438,91076.7317058438,93218.2975996868,15892493.3707237,SCREEN_ONLY,-72.7421540313309,-32.5429512976231
48000,91676.7317058438,91676.7317058438,93825.6453768409,18617295.3896704,SCREEN_ONLY,-32.2122274404459,-34.9241756701364
48600,92276.7317058438,92276.7317058438,94447.323850886,14502998.0284339,SCREEN_ONLY,11.9583709913379,-37.7048730760042
49200,92876.7317058438,92876.7317058438,95049.53475547,10403517.5935883,SCREEN_ONLY,49.6401325053618,-40.0747045096675
49800,93476.7317058438,93476.7317058438,95629.7902257929,6867331.56613595,SCREEN_ONLY,81.7383754940544,-41.5990853734534
50400,94076.7317058438,94076.7317058438,96218.3005904782,2918866.03869613,SCREEN_ONLY,62.5683162138744,135.058182403871
51000,94676.7317058438,94676.7317058438,96831.7085106942,1797842.6790019,SCREEN_ONLY,20.441613819362,132.469496588054
51600,95276.7317058438,95276.7317058438,97450.7479880693,6619973.1953081,SCREEN_ONLY,-22.963824191448,129.73340446021
52200,95876.7317058438,95876.7317058438,98044.7746890995,10550611.3637665,SCREEN_ONLY,-58.2451126359767,127.531337085462
52800,96476.7317058438,96476.7317058438,98623.948685421,14146810.8208426,SCREEN_ONLY,-89.3941177222684,-65.2479109960441
53400,97076.7317058438,97076.7317058438,99218.8936633225,18202080.663124,SCREEN_ONLY,-52.002898293733,-57.4342766794491
54000,97676.7317058438,97676.7317058438,99837.5539879686,16748738.2979243,SCREEN_ONLY,-8.58687241214661,-60.1442839778151
54600,98276.7317058438,98276.7317058438,100452.353942248,12151279.0602891,SCREEN_ONLY,33.2487346785637,-62.7823664442842
55200,98876.7317058438,98876.7317058438,101039.994177482,8473361.96640907,SCREEN_ONLY,66.7164950653161,-64.8262467090223
55800,99476.7317058438,99476.7317058438,101620.870379303,4913975.26701057,SCREEN_ONLY,80.0538979900987,112.068189097449
56400,100076.731705844,100076.731705844,102222.673161303,1840598.75065998,SCREEN_ONLY,40.8679288848838,110.013488829518
